"mlb_name","bref_id","mlb_team_long","password"
"Taylor Jungmann","jungmta01","Milwaukee Brewers","nDIB5Nb2Fb"
"Tim Adleman","adlemti01","Cincinnati Reds","UpssIHj0"
"Tim Cooney","cooneti01","Cleveland Indians","Nt2Pmntd"
"Tim Hudson","hudsoti01","San Francisco Giants","7lFSQzXkb"
"Tim Lincecum","linceti01","Los Angeles Angels","0CegJMICI"
"Tim Melville","melviti01","Cincinnati Reds","88k7ByG6hm"
"TJ House","housetj01","Cleveland Indians","FI7TeRAz"
"Tom Koehler","koehlto01","Miami Marlins","cE9wHW1G"
"Tommy Hanson","hansoto01","Texas Rangers","Rcgxyh1Zwx"
"Tommy Milone","milonto01","Milwaukee Brewers","S1dQBPkRPl"
"Toru Murata","muratto01","Cleveland Indians","esLVe136Q"
"Tsuyoshi Wada","wadats01","Chicago Cubs","IOZhyfY7E3"
"Tyler Anderson","anderty01","Colorado Rockies","hh2u8GFby"
"Tyler Cloyd","cloydty01","Cleveland Indians","nU3fZtIIB"
"Tyler Cravy","cravyty01","Milwaukee Brewers","f4NTBABEN"
"Tyler Duffey","duffety01","Minnesota Twins","IiYI839dq"
"Tyler Glasnow","glasnty01","Pittsburgh Pirates","DFhpLt1z"
"Tyler Matzek","matzety01","Colorado Rockies","0HAIze1YSk"
"Tyler Skaggs","skaggty01","Los Angeles Angels","6AOghYxC"
"Tyler Wagner","wagnety01","Texas Rangers","Nvn3Cymf2"
"Tyrell Jenkins","jenkity01","San Diego Padres","mTc4KJcxQ"
"Ubaldo Jimenez","jimenub01","Baltimore Orioles","5Kv1kOxCbt"
"Vincent Velasquez","velasvi01","Philadelphia Phillies","ryv7hRBB"
"Wade Miley","mileywa01","Baltimore Orioles","m95VWtB8al"
"Wandy Rodriguez","rodriwa01","Houston Astros","FgtRhCP6"
"Wei-Yin Chen","chenwe02","Miami Marlins","8KRaxeMlU"
"Williams Perez","perezwi01","Atlanta Braves","2tGdQCfw"
"Wily Peralta","peralwi01","Milwaukee Brewers","dEhKho2rP"
"Yordano Ventura","ventuyo01","Kansas City Royals","sd2S2X6lV"
"Yovani Gallardo","gallayo01","Seattle Mariners","OG4B7ascm"
"Yu Darvish","darviyu01","Texas Rangers","l2ebq88YF"
"Yunesky Maya","mayayu01","Washington Nationals","HQg5MAndA"
"Zach Davies","davieza02","Milwaukee Brewers","unN5Et1q"
"Zach Eflin","eflinza01","Philadelphia Phillies","CYh5iLGe"
"Zack Greinke","greinza01","Arizona Diamondbacks","zqza5c0Fl"
"Zack Wheeler","wheelza01","New York Mets","4L4iOj5Wgx"
"foreman-service","foreman-service","Service Account","f0reman5erviceAccount"
"vcenter-service","vcenter-service","Service Account","vC3nter5erviceAccount"
"adbind-service","adbind-service","Service Account","@dBindP@$$w0rd1357_"
